Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,3.875000,3.950000,3.875000,3.950000,2.216095,7568400
2007-01-04,3.950000,4.100000,3.950000,4.100000,2.300251,12460000
2007-01-05,4.150000,4.300000,4.125000,4.225000,2.370380,45429600
2007-01-08,4.225000,4.275000,4.200000,4.250000,2.384406,10942000
2007-01-09,4.250000,4.425000,4.250000,4.425000,2.482587,26206800
2007-01-10,4.400000,4.450000,4.325000,4.350000,2.440509,34496000
2007-01-11,4.350000,4.375000,4.325000,4.350000,2.440509,15763600
2007-01-12,4.350000,4.425000,4.350000,4.375000,2.454535,20718200
2007-01-15,4.400000,4.500000,4.400000,4.500000,2.524664,23278400
2007-01-16,4.500000,4.750000,4.500000,4.650000,2.608821,18216000
2007-01-17,4.650000,4.650000,4.475000,4.550000,2.552717,30161800
2007-01-18,4.550000,4.575000,4.500000,4.550000,2.552717,19578000
2007-01-19,4.550000,4.575000,4.500000,4.500000,2.524664,31432600
2007-01-22,4.500000,4.650000,4.500000,4.600000,2.580768,14750600
2007-01-23,4.575000,4.700000,4.575000,4.675000,2.622846,31549000
2007-01-24,4.700000,4.750000,4.600000,4.650000,2.608821,22399000
2007-01-25,4.675000,4.675000,4.450000,4.500000,2.524664,28550400
2007-01-26,4.475000,4.525000,4.475000,4.500000,2.524664,44685400
2007-01-29,4.500000,4.575000,4.475000,4.550000,2.552717,28802200
2007-01-30,4.550000,4.600000,4.550000,4.575000,2.566743,26701600
2007-01-31,4.600000,4.650000,4.600000,4.600000,2.580768,35905000
2007-02-02,4.600000,4.825000,4.600000,4.700000,2.636873,20201400
2007-02-05,4.750000,4.925000,4.750000,4.900000,2.749080,24027600
2007-02-06,4.900000,5.150000,4.900000,4.975000,2.791157,45321200
2007-02-07,5.000000,5.100000,5.000000,5.100000,2.861287,31243600
2007-02-08,5.100000,5.100000,4.925000,5.000000,2.805183,23747800
2007-02-09,4.975000,5.100000,4.900000,5.100000,2.861287,30583400
2007-02-12,5.100000,5.100000,4.850000,4.900000,2.749080,12861200
2007-02-13,4.875000,4.950000,4.800000,4.875000,2.735054,15309200
2007-02-14,4.925000,4.950000,4.875000,4.900000,2.749080,10552200
2007-02-15,4.925000,5.000000,4.900000,4.925000,2.763105,22790600
2007-02-16,4.950000,4.950000,4.875000,4.875000,2.735054,9529200
2007-02-21,4.950000,4.950000,4.850000,4.875000,2.735054,24577000
2007-02-22,4.875000,4.875000,4.875000,4.875000,2.735054,0
2007-02-23,5.100000,5.400000,5.050000,5.200000,2.917390,28091800
2007-02-26,5.200000,5.200000,4.975000,5.050000,2.833236,19814800
2007-02-27,5.050000,5.050000,4.775000,4.975000,2.791157,20047600
2007-02-28,4.675000,4.850000,4.500000,4.675000,2.622846,48113000
2007-03-01,4.700000,4.825000,4.675000,4.675000,2.622846,20342600
2007-03-02,4.750000,4.875000,4.625000,4.650000,2.608821,30112000
2007-03-05,4.625000,4.650000,4.200000,4.400000,2.468561,29625400
2007-03-06,4.425000,4.700000,4.275000,4.425000,2.482587,20974800
2007-03-07,4.500000,4.700000,4.500000,4.625000,2.594795,15484000
2007-03-08,4.625000,4.850000,4.575000,4.775000,2.678950,9677200
2007-03-09,4.850000,4.925000,4.675000,4.750000,2.664923,11386600
2007-03-12,4.775000,4.825000,4.775000,4.800000,2.692975,26864800
2007-03-13,4.800000,5.000000,4.800000,4.875000,2.735054,27430200
2007-03-14,4.750000,4.750000,4.625000,4.725000,2.650897,17015000
2007-03-15,4.775000,4.800000,4.700000,4.725000,2.650897,15178600
2007-03-16,4.725000,4.725000,4.625000,4.725000,2.650897,13082600
2007-03-19,4.700000,4.875000,4.700000,4.775000,2.678950,13470000
2007-03-20,4.850000,4.850000,4.775000,4.775000,2.678950,8034600
2007-03-21,4.775000,4.875000,4.775000,4.825000,2.707002,12344200
2007-03-22,4.850000,4.950000,4.850000,4.900000,2.749080,23333000
2007-03-23,4.925000,5.050000,4.900000,5.000000,2.805183,21201200
2007-03-26,5.000000,5.050000,4.950000,5.050000,2.833236,13238800
2007-03-27,5.050000,5.100000,4.975000,5.050000,2.833236,14406200
2007-03-28,5.000000,5.000000,4.900000,4.975000,2.791157,6418200
2007-03-29,4.925000,5.000000,4.875000,4.975000,2.791157,12723000
2007-03-30,5.050000,5.050000,4.975000,4.975000,2.791157,8428400
2007-04-02,4.975000,5.150000,4.975000,5.000000,2.805183,8144600
2007-04-03,5.000000,5.300000,5.000000,5.150000,2.889339,19573400
2007-04-04,5.200000,5.500000,5.200000,5.350000,3.001546,33774000
2007-04-05,5.400000,5.450000,5.350000,5.450000,3.057650,11641400
2007-04-06,5.450000,5.450000,5.300000,5.300000,2.973495,3797800
2007-04-09,5.350000,5.500000,5.350000,5.350000,3.001546,12424400
2007-04-10,5.350000,5.500000,5.350000,5.500000,3.085703,12278600
2007-04-11,5.450000,5.450000,5.200000,5.250000,2.945443,19334800
2007-04-12,5.250000,5.250000,5.150000,5.200000,2.917390,12811800
2007-04-13,5.250000,5.450000,5.250000,5.350000,3.001546,12168200
2007-04-16,5.300000,5.350000,5.250000,5.350000,3.001546,6075000
2007-04-17,5.350000,5.400000,5.150000,5.250000,2.945443,11148200
2007-04-18,5.250000,5.300000,5.200000,5.250000,2.945443,13031600
2007-04-19,5.250000,5.250000,5.100000,5.200000,2.917390,19357800
2007-04-20,5.200000,5.300000,5.200000,5.200000,2.917390,14774800
2007-04-23,5.250000,5.350000,5.200000,5.300000,2.973495,12511000
2007-04-24,5.300000,5.450000,5.250000,5.400000,3.029598,20901400
2007-04-25,5.450000,5.500000,5.350000,5.450000,3.057650,15712200
2007-04-26,5.450000,5.450000,5.450000,5.450000,3.057650,0
2007-04-27,5.500000,5.600000,5.450000,5.500000,3.085703,22176400
2007-04-30,5.500000,5.500000,5.350000,5.400000,3.029598,18665000
2007-05-03,5.450000,5.550000,5.350000,5.500000,3.129163,10776400
2007-05-04,5.500000,5.700000,5.450000,5.700000,3.242949,8390600
2007-05-07,5.700000,6.150000,5.650000,6.000000,3.413631,21262000
2007-05-08,6.050000,6.150000,5.750000,5.850000,3.328291,22642400
2007-05-09,5.900000,6.000000,5.800000,6.000000,3.413631,12456800
2007-05-10,6.000000,6.300000,5.950000,6.250000,3.555866,21214000
2007-05-11,6.050000,6.150000,5.900000,5.950000,3.385185,22524400
2007-05-14,6.000000,6.150000,6.000000,6.000000,3.413631,21353200
2007-05-15,6.050000,6.050000,5.850000,5.950000,3.385185,11923000
2007-05-16,5.900000,6.000000,5.900000,5.900000,3.356739,10481800
2007-05-17,5.950000,6.050000,5.950000,6.050000,3.442078,11687600
2007-05-18,6.000000,6.000000,5.950000,5.950000,3.385185,9068600
2007-05-21,6.000000,6.000000,5.700000,5.800000,3.299844,28046200
2007-05-22,5.800000,6.150000,5.750000,6.100000,3.470526,27956600
2007-05-23,6.100000,6.100000,5.800000,5.850000,3.328291,14509800
2007-05-24,5.850000,5.850000,5.750000,5.800000,3.299844,19730000
2007-05-25,5.700000,5.750000,5.650000,5.750000,3.271397,8835000
2007-05-28,5.750000,5.900000,5.700000,5.900000,3.356739,6736200
2007-05-29,5.850000,5.900000,5.800000,5.800000,3.299844,4636200
2007-05-30,5.850000,5.850000,5.700000,5.750000,3.271397,8128200
2007-05-31,5.800000,6.000000,5.800000,5.950000,3.385185,8134600
2007-06-01,5.950000,6.000000,5.950000,6.000000,3.413631,4686200
2007-06-04,6.000000,6.000000,5.950000,6.000000,3.413631,11835200
2007-06-05,6.000000,6.150000,6.000000,6.100000,3.470526,7837200
2007-06-06,6.050000,6.100000,5.850000,5.850000,3.328291,6638000
2007-06-07,5.850000,6.100000,5.850000,6.100000,3.470526,8312200
2007-06-08,6.000000,6.000000,5.850000,5.850000,3.328291,8307600
2007-06-11,5.950000,6.000000,5.900000,5.900000,3.356739,14044600
2007-06-12,5.900000,6.000000,5.900000,5.950000,3.385185,5419800
2007-06-13,5.950000,5.950000,5.900000,5.950000,3.385185,8277600
2007-06-14,5.950000,5.950000,5.900000,5.950000,3.385185,8276
2007-06-15,5.950000,6.050000,5.800000,5.900000,3.356739,11946200
2007-06-18,5.950000,6.050000,5.800000,5.900000,3.356739,11946
2007-06-19,5.950000,6.050000,5.950000,6.000000,3.413631,6782200
2007-06-20,6.000000,6.100000,5.950000,6.100000,3.470526,7372800
2007-06-21,6.050000,6.050000,5.950000,5.950000,3.385185,5366200
2007-06-22,5.900000,6.000000,5.850000,6.000000,3.413631,16942800
2007-06-25,6.000000,6.000000,5.800000,5.800000,3.299844,8563800
2007-06-26,5.850000,5.900000,5.800000,5.850000,3.328291,25122600
2007-06-27,5.850000,5.900000,5.800000,5.850000,3.328291,25122
2007-06-28,5.850000,5.900000,5.800000,5.800000,3.299844,8564800
2007-06-29,5.800000,5.850000,5.750000,5.850000,3.328291,19735800
2007-07-02,5.850000,6.100000,5.850000,6.100000,3.470526,14804000
2007-07-03,6.150000,6.250000,6.100000,6.100000,3.470526,27261000
2007-07-04,6.100000,6.150000,6.050000,6.050000,3.442078,3843000
2007-07-05,6.050000,6.100000,5.950000,6.100000,3.470526,9759400
2007-07-06,6.000000,6.200000,6.000000,6.050000,3.442078,7273400
2007-07-09,6.100000,6.150000,5.850000,5.950000,3.385185,15037000
2007-07-10,5.950000,5.950000,5.800000,5.850000,3.328291,20240000
2007-07-11,5.800000,5.850000,5.750000,5.800000,3.299844,14104000
2007-07-12,5.800000,5.900000,5.800000,5.800000,3.299844,18070800
2007-07-13,5.900000,6.050000,5.900000,6.050000,3.442078,25231400
2007-07-16,6.000000,6.050000,5.900000,6.000000,3.413631,5494400
2007-07-17,6.000000,6.000000,5.900000,5.950000,3.385185,13534400
2007-07-18,5.950000,6.000000,5.850000,5.850000,3.328291,9842000
2007-07-19,5.900000,6.050000,5.900000,6.000000,3.413631,8439800
2007-07-20,6.000000,6.050000,5.950000,6.000000,3.413631,10288800
2007-07-23,5.900000,6.000000,5.900000,5.900000,3.356739,9387600
2007-07-24,5.800000,5.950000,5.800000,5.800000,3.299844,16286
2007-07-25,5.800000,5.950000,5.800000,5.850000,3.328291,13376200
2007-07-26,5.900000,5.950000,5.800000,5.800000,3.299844,17694200
2007-07-27,5.700000,5.900000,5.650000,5.900000,3.356739,21546800
2007-07-30,5.750000,5.900000,5.700000,5.850000,3.328291,8863200
2007-07-31,5.850000,5.900000,5.800000,5.900000,3.356739,7299400
2007-08-01,5.850000,5.900000,5.600000,5.650000,3.214503,29062000
2007-08-02,5.750000,5.800000,5.450000,5.650000,3.214503,15769200
2007-08-03,5.650000,5.700000,5.550000,5.550000,3.157610,21420000
2007-08-06,5.500000,5.500000,5.200000,5.200000,2.958480,19910800
2007-08-07,5.350000,5.400000,5.200000,5.200000,2.958480,15653200
2007-08-08,5.250000,5.350000,5.200000,5.300000,3.015375,16291000
2007-08-09,5.400000,5.500000,5.400000,5.400000,3.072268,4768000
2007-08-10,5.300000,5.350000,5.200000,5.200000,2.958480,11756600
2007-08-13,5.200000,5.350000,5.150000,5.200000,2.958480,7498
2007-08-14,5.250000,5.300000,5.100000,5.150000,2.930034,17445000
2007-08-15,5.000000,5.100000,4.925000,5.000000,2.844693,22106200
2007-08-16,4.975000,4.975000,4.700000,4.950000,2.816247,24535000
2007-08-17,4.950000,5.050000,4.675000,4.950000,2.816247,29632000
2007-08-20,5.150000,5.300000,5.000000,5.100000,2.901587,26616000
2007-08-21,5.150000,5.150000,4.975000,5.050000,2.873140,20342200
2007-08-22,5.050000,5.150000,4.975000,5.150000,2.930034,6323400
2007-08-23,5.250000,5.450000,5.250000,5.400000,3.072268,17759000
2007-08-24,5.350000,5.350000,5.250000,5.250000,2.986928,4638800
2007-08-27,5.400000,5.450000,5.300000,5.300000,3.015375,6783600
2007-08-28,5.350000,5.350000,5.250000,5.350000,3.043821,6883400
2007-08-29,5.200000,5.350000,5.200000,5.250000,2.986928,18480000
2007-08-30,5.350000,5.450000,5.350000,5.450000,3.100715,7050800
2007-09-03,5.500000,5.550000,5.450000,5.500000,3.129163,8203000
2007-09-04,5.500000,5.650000,5.500000,5.600000,3.186056,14157800
2007-09-05,5.600000,5.700000,5.500000,5.600000,3.186056,26623000
2007-09-06,5.550000,5.600000,5.450000,5.500000,3.129163,10930400
2007-09-07,5.500000,5.500000,5.450000,5.450000,3.100715,8622000
2007-09-10,5.250000,5.400000,5.250000,5.350000,3.115273,8504600
2007-09-11,5.350000,5.400000,5.300000,5.300000,3.086158,6140400
2007-09-12,5.350000,5.450000,5.350000,5.350000,3.115273,7237000
2007-09-13,5.350000,5.400000,5.250000,5.350000,3.115273,2490800
2007-09-14,5.400000,5.450000,5.300000,5.400000,3.144388,10080400
2007-09-17,5.400000,5.500000,5.400000,5.400000,3.144388,12910400
2007-09-18,5.400000,5.500000,5.400000,5.400000,3.144388,11656000
2007-09-19,5.500000,5.600000,5.450000,5.500000,3.202617,16401800
2007-09-20,5.500000,5.700000,5.450000,5.650000,3.289960,9464200
2007-09-21,5.600000,5.650000,5.500000,5.600000,3.260846,5491400
2007-09-24,5.600000,5.650000,5.500000,5.500000,3.202617,7920600
2007-09-25,5.550000,5.600000,5.450000,5.500000,3.202617,13809000
2007-09-26,5.500000,5.500000,5.350000,5.350000,3.115273,10144000
2007-09-27,5.350000,5.400000,5.300000,5.350000,3.115273,22326000
2007-09-28,5.350000,5.450000,5.300000,5.350000,3.115273,8448000
2007-10-01,5.350000,5.350000,5.300000,5.300000,3.086158,11374000
2007-10-02,5.400000,5.550000,5.350000,5.450000,3.173502,24530400
2007-10-03,5.450000,5.650000,5.450000,5.500000,3.202617,18642000
2007-10-04,5.500000,5.600000,5.500000,5.600000,3.260846,25280
2007-10-05,5.650000,5.700000,5.600000,5.600000,3.260846,11206
2007-10-08,5.600000,5.650000,5.550000,5.600000,3.260846,8496000
2007-10-09,5.600000,5.800000,5.550000,5.800000,3.377306,13144800
2007-10-10,5.800000,5.900000,5.700000,5.800000,3.377306,24094000
2007-10-11,5.800000,5.800000,5.500000,5.600000,3.260846,13385600
2007-10-12,5.600000,5.600000,5.450000,5.600000,3.260846,18897000
2007-10-16,5.600000,5.600000,5.400000,5.400000,3.144388,23054000
2007-10-17,5.450000,5.550000,5.400000,5.450000,3.173502,8622400
2007-10-18,5.450000,5.650000,5.400000,5.500000,3.202617,7167400
2007-10-19,5.500000,5.650000,5.500000,5.500000,3.202617,7604000
